chrlbl,citations,definition,part_of_speech,word,first_citation_date,first_citation_text,last_citation_date,last_citation_text,family
1960s+,"{'@first': 'yes', 'date': '2002', 'tit': 'www.suze-centerfolds.com', '#text': '[Internet] Among so many other feathers in her cap was the web cam fuckathon with a lead performer in the rock band Motley Crue'}",a long sexual encounter or orgy,noun,fuckathon,2002,[Internet] Among so many other feathers in her cap was the web cam fuckathon with a lead performer in the rock band Motley Crue,2002,[Internet] Among so many other feathers in her cap was the web cam fuckathon with a lead performer in the rock band Motley Crue,fuck
mid–late 17C,"{'@first': 'yes', 'date': '1663', 'aut': 'Head', 'tit': 'Hic et Ubique', 'num': 'I vi', '#text': 'Fuy by St. Patrick agra, he put de fuckation upon me weef'}",sexual intercourse,noun,fuckation,1663,"Fuy by St. Patrick agra, he put de fuckation upon me weef",1663,"Fuy by St. Patrick agra, he put de fuckation upon me weef",fuck
1950s+,"[{'@class': 'new19A', '@first': 'yes', 'date': '1950', 'tit': 'Crime Smashers', 'num': '27', '#text': 'Oct. [comic] You’ll have to confess you were indulging in fuckery with a boy friend!'}, {'@class': 'new18C us', 'date': '1961', 'aut': 'J. Ashmead', 'tit': 'The Mountain and the Feather', 'num': '132', '#text': 'By definition, homosexuals did not speak endlessly and monotonously of the drab arts of fuckery'}, {'@class': 'new18C aus', 'date': '1969', 'tit': 'Nation', 'num': '272', '#text': '260-83 He is testing his characters right the way through [...] following them assiduously through the pleasures. which mostly read like ordeals of fuckery in Paddo bedrooms'}, {'@class': 'new18C', 'date': '1974', 'tit': 'New Society', 'num': '170', '#text': '29 Now, although she assesses herself a unique phoenix of fuckery, Ms [Linda] Lovelace does only what any accomplished whore is expected to do'}, {'@class': 'new18C uk', 'date': '1975', 'tit': 'London Mag.', 'num': '32', '#text': '15 No one must be kept outside the game: child molesters, voyeurs, pederasts, potent and impotent, young and old, it is a free-for-all; everyone gets the gift of a ticket to enter the mindless world of indiscriminate fuckery'}]","an act of sex performed by one or more couples, thus an orgy",noun,fuckery,1950,Oct. [comic] You’ll have to confess you were indulging in fuckery with a boy friend!,1975,"15 No one must be kept outside the game: child molesters, voyeurs, pederasts, potent and impotent, young and old, it is a free-for-all; everyone gets the gift of a ticket to enter the mindless world of indiscriminate fuckery",fuck
late 19C+,"[{'@first': 'yes', 'date': '1890–1904', 'aut': 'Farmer & Henley', 'tit': 'Sl. and Its Analogues'}, {'date': '1969', 'aut': '‘Iceberg Slim’', 'tit': 'Mama Black Widow', 'num': '199', '#text': 'She’s acting fuckish tonight'}]",sexually forward,adjective,fuckish,1890,,1969,She’s acting fuckish tonight,fuck
mid-19C+,"[{'@class': 'new19C', '@first': 'yes', 'date': '1870', 'tit': 'Cythera’s Hymnal', 'num': '61', '#text': 'She’s spend and fart and shudder and bound, / My fucksome little Sally'}, {'@class': 'new19C', 'circa': '1900', 'aut': '‘Ramrod’', 'tit': 'Nocturnal Meeting', 'num': '41', '#text': 'Here’s a couple of loving and most fucksome women'}, {'date': '1937–84', 'aut': 'Partridge', 'tit': 'DSUE', 'edn': '1984', 'num': '443/1', '#text': 'C.19–20'}, {'date': '2002', 'aut': 'D. Goode', 'tit': 'Goodheart and The Pagan Princess', '#text': 'Ch. 9 [Internet] My eyes roved, picking out the more voluptuous and fucksome members of the crowd—those with firm, youthful tits and lightly-furred slits'}]","of a woman, sexually desirable",adjective,fucksome,1870,"She’s spend and fart and shudder and bound, / My fucksome little Sally",2002,"Ch. 9 [Internet] My eyes roved, picking out the more voluptuous and fucksome members of the crowd—those with firm, youthful tits and lightly-furred slits",fuck
None,"{'date': '1902', 'aut': 'G.R. Bacchus', 'tit': 'Confessions of Nemesis Hunt', 'num': '2', '#text': 'When you start talking of fucksome drinks [...] take one quart bottle of champagne and four eggs. Divide bottle into four large glasses, break egg in each, and drink, then fuck!'}","of an inanimate object, sexually arousing",adjective,fucksome,1902,"When you start talking of fucksome drinks [...] take one quart bottle of champagne and four eggs. Divide bottle into four large glasses, break egg in each, and drink, then fuck!",1902,"When you start talking of fucksome drinks [...] take one quart bottle of champagne and four eggs. Divide bottle into four large glasses, break egg in each, and drink, then fuck!",fuck
late 17C; late 19C,"[{'@first': 'yes', 'date': '1676–84', 'tit': 'British Museum Additional Mss', 'num': '34362.47', '#text': '‘Acrostick’   Each F–ster now this title’s grown so mean Rules his dull Whore & calls her Mazareen'}, {'@class': 'N331', 'ante': '1680', 'tit': 'Harleian Mss.', 'num': '7312.89', '#text': '‘Advice to a C-monger’  Fucksters you that would be happy have a care that C-t don’t Clap yee'}, {'@class': 'N331', 'circa': '1682', 'tit': 'Harleian Mss.', 'num': '6913.257', '#text': '‘Letter’  For want of Fucksters to increase her Pox Shee locks up Skipperitt in her Dressing Box'}, {'@class': 'N331', 'circa': '1682', 'tit': 'Harleian Mss.', 'num': '6913.6', '#text': '‘Satyr’  Poor nauseous Fool a Fuckster fain wou’d have To send like Isham Shanker’d to his Grave'}, {'@class': 'N331', 'circa': '1686', 'tit': 'Harleian Mss.', 'num': '7315.148', 'sup': ['v', 't'], '#text': '‘Satyr on the Parsons’   As well as S Peter and Paul, Poor Fucksters will all goe to Heav’n'}, {'date': '1687', 'aut': 'Wilson', 'tit': 'Court Satires of the Restoration', 'edn': '1976', 'num': '185', '#text': '‘Lovers’ Session’ in It’s unjust the fair sexes’ pride / Should run any risk with a fuckster untried'}, {'@class': 'new', 'date': '1867', 'aut': 'E. Sellon', 'tit': 'Ups & Downs of Life', 'edn': '1996', 'num': '110', '#text': 'Gentlemen, I leave such illicit pleasures to the clergy; as for me, I’m a mere fuckster. I like women, and I have them'}, {'@class': 'new', 'date': '1868', 'tit': 'The Index Expurgatorius of Martial', 'num': '33', '#text': '[trans.] You gamahuche, you do not poke my woman, and you brag about it as if you were her gallant and a fuckster'}, {'date': '1881', 'tit': 'Amatory Experiences of a Surgeon', 'num': '13', '#text': 'A tremendous lunge from the now dreadfully excited fuckster overturned the obstacle with a loud crash'}, {'date': '1888–94', 'aut': '‘Walter’', 'tit': 'My Secret Life', 'edn': '1966', 'num': '552', '#text': 'III She was a glorious fuckster; her cunt was tight inside, and yet so elastic as not to hurt or pinch'}, {'@class': 'new19C', 'date': '1892', 'aut': '‘Lais Lovecock’', 'tit': 'Bagnio Misc.', 'num': '30', '#text': 'There was a house directly opposite to mine in which lived my former fuckster [...] He had taken the precaution to hide his light'}, {'@class': 'new', 'date': '1902', 'aut': 'Baumann', 'tit': 'Londinismen', 'num': '70/2', '#text': 'fuckster P[opulär] unzüchtig: Ficker'}, {'@class': 'new', 'circa': '1935', 'aut': 'Jem', 'tit': ['Wide Open', 'Essential Guide to Erotic Literature'], 'src': 'C.J. Scheiner', 'edn': '1996', 'num': '242', '#text': 'in I As already explained, the voyeurs are persons, male or female, who do not care to be active participants in the party, but are content, and willing to pay, to assist passively at the spectacle offered by the real fucksters'}, {'@class': 'new', 'date': '1990', 'tit': 'Footlicker', 'num': '62', '#text': 'Rocked her shoulders and threw back her sweat-drenched ponytail out at Marlborough’s fuckstering face'}]","a promiscuous man; occas. woman; thus , copulating",noun,fuckster,1676,‘Acrostick’   Each F–ster now this title’s grown so mean Rules his dull Whore & calls her Mazareen,1990,Rocked her shoulders and threw back her sweat-drenched ponytail out at Marlborough’s fuckstering face,fuck
None,"[{'@class': 'new', '@first': 'yes', 'date': '1868', 'tit': 'The Index Expurgatorius of Martial', 'num': '5', '#text': 'Fututor, ‘a fuckster.’ There is an auxesis in the term ‘fuckster’, applied to a woman, who ought to be called a ‘fuckstress’, but Martial calls her ‘a fuckster’, to brand her turpitude more signally; and this term is specially applied to tribades by Martial, for he constantly says of them that they ‘fuck’.'}, {'date': '1999', 'tit': ['Roger’s Profanisaurus 3', 'Viz'], 'num': '9', 'b': 'Covent Garden nun', 'i': ['n', 'fuckstress', 'Fulham virgin'], '#text': 'in  98 Oct. . A ; a . A prostitute'}]",a prostitute,noun,fuckstress,1868,"Fututor, ‘a fuckster.’ There is an auxesis in the term ‘fuckster’, applied to a woman, who ought to be called a ‘fuckstress’, but Martial calls her ‘a fuckster’, to brand her turpitude more signally; and this term is specially applied to tribades by Martial, for he constantly says of them that they ‘fuck’.",1999,in  98 Oct. . A ; a . A prostitute,fuck
None,"[{'@class': 'new', '@first': 'yes', 'date': '1883', 'tit': 'Boudoir', 'edn': '1984', 'num': '217', '#text': 'VI I’m spending...I’m coming...I spend!’ ‘And so do I...Ah! I can’t keep up...any longer...my darling!...my FUCKSTRESS...I...I spend...take it all...take all my SPUNK!'}, {'date': '1884', 'tit': 'Randiana', 'num': '127', '#text': 'What a deep-drawn sigh of delight, my fresh fuckstress gave, as she heaved up her buttocks and felt my charger rush up to the very extremity of her burning sheath'}, {'date': '1888–94', 'aut': '‘Walter’', 'tit': 'My Secret Life', 'edn': '1966', 'num': '894', '#text': 'V As a fuckstress she was perfection. Rarely have I found such an exquisite fitting cunt'}, {'@class': 'new', 'date': '1899', 'tit': 'Horn Book: A Girl’s Guide to the Knowledge of Good and Evil', 'num': '71', '#text': 'Dialogue III The man need not fear that his fuckstress will fall backwards, and if she did, she would fall upon him and not hurt herself'}, {'date': '1941', 'aut': 'G. Legman', 'tit': 'Limerick', 'edn': '1953', 'num': '58', '#text': 'in A talented Fuckstress, Miss Chisholm, / Was renowned for her fine paroxysm'}, {'@class': 'new', 'date': '1990', 'tit': 'Footlicker', 'num': '77', '#text': 'Verushka and I will be waiting for your report on that little psychofuckstress'}]",a female sexual sophisticate,noun,fuckstress,1883,VI I’m spending...I’m coming...I spend!’ ‘And so do I...Ah! I can’t keep up...any longer...my darling!...my FUCKSTRESS...I...I spend...take it all...take all my SPUNK!,1990,Verushka and I will be waiting for your report on that little psychofuckstress,fuck
1960s+,"[{'@class': 'uk', '@first': 'yes', 'date': '1969', 'aut': 'J. Nuttall', 'tit': 'Pig', 'num': '50', '#text': '‘Silly old fuckbag,’ I thought. ‘Completely off her head.’'}, {'date': '1979', 'aut': 'J. Morrow', 'tit': 'Confessions of Proinsias O’Toole', 'num': '160', '#text': 'The unceasing obscene clangour of her tongue (‘Putrefying fuckbag!’ – just one gem)'}, {'date': '1993', 'con': '1945', 'aut': 'S. McAughtry', 'tit': 'Touch and Go', 'num': '54', '#text': 'I suppose the fuckpots sent you out to the Far East as well'}, {'date': '1993', 'aut': 'I. Welsh', 'tit': 'Trainspotting', 'num': '255', '#text': 'Then she discovered that the rapist fuckbag was HIV'}, {'@class': 'uk', 'date': '2002', 'aut': 'P. Smith', 'tit': 'Aleister in Wonderland', 'num': '46', '#text': 'You lame old fuckbag. You be naggin’ and naggin’. [...] Draggin’ around yo sack o’ potato ass, ya raspy old fuckbag'}, {'@class': 'new18A', 'date': '2006', 'tit': 'Tharunka', 'num': '7/2', '#text': '(Sydney) 6 Oct. These fuck-bags were encouraging women who wanted to live to ‘give it up’ to a man in a timely manner, but where marriage could be avoided, so the women would avoid being sacrificed but ‘lost’ and the men ‘won’'}, {'@class': 'new19B', 'date': '2019', 'aut': 'S.M. Jones', 'tit': 'Lives Laid Away', 'i': 'ever', '#text': '[ebook] ‘Don’t  have that annoying fuck-bag David Goddamn Baker call my office again!’'}]","a general term of contempt for an unpleasant, disgusting person",compound,fuckbag,1969,"‘Silly old fuckbag,’ I thought. ‘Completely off her head.’",2019,[ebook] ‘Don’t  have that annoying fuck-bag David Goddamn Baker call my office again!’,fuck
,"[{'@first': 'yes', 'date': '1970', 'aut': 'W.J. Craddock', 'tit': 'Be Not Content', 'num': '75', '#text': 'What sort of a ruined mind would want to be a fuckbag cop?'}, {'date': '1995', 'aut': 'R.M. Wilson', 'tit': 'Ripley Bogle', 'num': '100', '#text': 'St Mary’s, a fuckbag girls’ school that tries hard to posh it out on the Upper Falls and fails badly'}]",attrib. use of sense 1,compound,fuckbag,1970,What sort of a ruined mind would want to be a fuckbag cop?,1995,"St Mary’s, a fuckbag girls’ school that tries hard to posh it out on the Upper Falls and fails badly",fuck
,"[{'@class': 'new17C', '@first': 'yes', 'date': '1993', 'aut': 'B. Moore', 'tit': 'Lex. Cadet Jargon', 'num': '151/2', 'b': 'fuck bag', '#text': '- a woman believed by cadets to be a good fuck and/or readily available for a fuck'}, {'date': '2002', 'aut': 'J. Flint', 'tit': '50 Ways to Magic America', 'num': '134', '#text': 'He’d told her how she was his little fuckbag and how he wanted her to slide her cunt right up to his nutbag while he sat in front of his computer screen'}, {'date': '2006', 'aut': 'M. Philbin', 'tit': 'Jane’s Game', 'num': '60', '#text': 'Makes me sick just to think of it. You syrupy lap dog. Well, you’ve had your last of me. [...] You can find some other Fuck Bag'}]",a woman seen as no more than a sex object,compound,fuckbag,1993,- a woman believed by cadets to be a good fuck and/or readily available for a fuck,2006,"Makes me sick just to think of it. You syrupy lap dog. Well, you’ve had your last of me. [...] You can find some other Fuck Bag",fuck
1990s+,"{'@first': 'yes', 'date': '1996', 'aut': 'S. Frank', 'tit': 'Get Shorty', '#text': '[film script] Hey, fuckball, I don’t need your permission. L.A.’s an open city'}",a general derog. term,compound,fuckball,1996,"[film script] Hey, fuckball, I don’t need your permission. L.A.’s an open city",1996,"[film script] Hey, fuckball, I don’t need your permission. L.A.’s an open city",fuck
1970s+,"[{'@first': 'yes', 'date': '1977', 'aut': 'B. Judell', 'tit': 'Blue Boy', 'src': 'Jay & Young', 'edn': '1979', 'num': '135', '#text': '‘Sexual Anarchy’ in  (Miami) Aug./Sept. in The fuck bar seems to be reaching its high noon of popularity and notoriety [...] What goes on in such a place? [...] one can witness and experience cocksucking, regular and fist fucking, water sports, gang bangs, sadomasochism, beer slurping, gum chewing, masturbation, group sex'}, {'date': '1997', 'aut': 'J.J. Matthews', 'tit': 'Sex in Public', 'num': '142', '#text': 'The Den, a busy fuck bar in Sydney'}, {'date': '2004', 'aut': 'B. Charles', 'tit': 'Gay men’s sexual stories', 'num': '65', '#text': '‘Troughman’ in The Mineshaft in New York, [a] notorious fuck bar of the seventies and eighties which, along with the Anvil, represented the after hours sleaze and leather scene at their height'}]",a bar which provides a back room for sexual activity,compound,fuck-bar,1977,"‘Sexual Anarchy’ in  (Miami) Aug./Sept. in The fuck bar seems to be reaching its high noon of popularity and notoriety [...] What goes on in such a place? [...] one can witness and experience cocksucking, regular and fist fucking, water sports, gang bangs, sadomasochism, beer slurping, gum chewing, masturbation, group sex",2004,"‘Troughman’ in The Mineshaft in New York, [a] notorious fuck bar of the seventies and eighties which, along with the Anvil, represented the after hours sleaze and leather scene at their height",fuck
1940s+,"[{'@first': 'yes', 'date': '1946', 'aut': 'F. Eikel Jr', 'tit': 'AS', 'num': '33/1', 'scaps': 'f—k books', 'i': 'n', '#text': '‘An Aggie Vocab. of Sl.’  XXI:1 , . Sexy pulp magazines'}, {'date': '1965', 'aut': 'D. Pearce', 'tit': 'Cool Hand Luke', 'edn': '1967', 'num': '58', '#text': 'The girlie magazines and the paper-backed fuck books'}, {'date': '1970', 'aut': 'E. Thompson', 'tit': 'Garden of Sand', 'edn': '1981', 'num': '387', 'i': 'Tillie the Toiler', '#text': 'He got a  fuck book from the geek who sold them and jerked off over it'}, {'date': '1974', 'con': '1940s', 'aut': 'E. Thompson', 'tit': 'Tattoo', 'edn': '1977', 'num': '25', '#text': 'A Barney Google fuck book'}, {'date': '1977', 'aut': 'L. Heinemann', 'tit': 'Close Quarters', 'edn': '1987', 'num': '7', '#text': 'He wore the pistol for protection the way some people kept something thick in their breast pocket, ‘like a Bible or a fuck book, ya know?’'}, {'date': '1983', 'aut': 'R. Price', 'tit': 'Breaks', 'num': '55', '#text': 'We both jumped like kids caught by God with fuckbooks'}, {'date': '1990', 'con': 'early 1950s', 'aut': 'J. Ellroy', 'tit': 'L.A. Confidential', 'num': '194', '#text': 'All he wanted to do was use her, make her do it with other women, recreate fuck book scenarios'}, {'date': '1997', 'con': '1930s–50s', 'aut': 'A. Spiegelman', 'src': 'Adelman', 'tit': 'Tijuana Bibles', 'num': '6/2', '#text': 'in In other regions of America they were also known as Eight-Pagers, Two-by-Fours, Gray-Backs, Bluesies, Jo-Jo Books, Tillie-and-Mac Books, Jiggs-and-Maggie Books, or simply as Fuck Books'}, {'date': '1999', 'aut': 'J. Ellroy', 'tit': 'Destination: Morgue!', 'edn': '2004', 'num': '127', '#text': '‘My Life as a Creep’ in Fuck-suck books. Beaver books. Glossy color pix'}, {'date': '2003', 'aut': 'P. Gizzi', 'tit': 'Some Values of Landscape and Weather', 'num': '33', '#text': 'Meanwhile, when no one was looking, the bogeyman fingered a fuckbook'}, {'@class': 'new', 'date': '2008', 'aut': 'R. Price', 'tit': 'Lush Life', 'num': '141', '#text': 'Every fuck book, textbook, eight-page comic and titty magazine'}]",pornography,compound,fuck book,1946,"‘An Aggie Vocab. of Sl.’  XXI:1 , . Sexy pulp magazines",2008,"Every fuck book, textbook, eight-page comic and titty magazine",fuck
